pO2 mew_e electrons holes VO{2} VO{1} VO{0} VM{-4} VM{-3} VM{-2} VM{-1} VM{0} Oi{-2} Oi{-1} Oi{0} Mi{4} Mi{3} Mi{2} Mi{1} Mi{0} Ii{0} Ii{-1} Ii{1} IsubO{1} IsubO{2} IsubO{3} IsubZr{-3} IsubZr{-4} IsubZr{-5} Stoich
-35 2.47372662009257 -5.68304992463139 -16.8967516022634 -27.6983087797658 -27.9692462514513 -32.0616515476972 -8.44587680605662 -22.6259358046369 -37.6504265882806 -56.3757406479359 -81.0569851096906 -18.7340616640017 -23.6620899079574 -29.0351668594415 -66.6831026106568 -63.3906114450415 -66.2845624052357 -71.7860923411833 -78.8251399346538 -18.9430808749745 -15.3788967976991 -17.5519194212667 -3.12463642507557 -15.587281325414 -24.1911590025853 -3.60296818015502 -13.727203144511 -16.140186520327 -2.82055729449034 
-34.8 2.46405978102475 -5.75800181621495 -16.8217997106799 -27.6484049785784 -27.9942943418474 -32.1616515296769 -8.54568440810361 -22.6507915151003 -37.6003304071604 -56.2506925752322 -80.8569851454033 -18.7839654471687 -23.6370417995409 -28.9351668594415 -66.5832950443236 -63.3657557702918 -66.3346586220696 -71.9111404496007 -79.0251399346548 -18.9180807899881 -15.4288486042964 -17.4519674446968 -3.12468443048496 -15.5123774392398 -24.0413032248284 -3.60282380563213 -13.8020106615717 -16.2899459289712 -2.82098437284504 
-34.6 2.45439195528934 -5.83296135793136 -16.7468401689635 -27.5984858799894 -28.0193347849748 -32.2616515145206 -8.6455226050248 -22.6756701703051 -37.5502495206488 -56.1256521470042 -80.6569851754589 -18.8338845306015 -23.6120013412573 -28.8351668594414 -66.4834568774589 -63.3408771451435 -66.3847395386378 -72.0361809078853 -79.2251399346557 -18.8930807266649 -15.4788080826895 -17.3520078396571 -3.12472481028949 -15.437458277328 -23.8914245211992 -3.60270239751364 -13.8768487951696 -16.4397436042856 -2.82134405030995 
-34.4 2.44472329990281 -5.90792733235241 -16.6718741945424 -27.5485539183975 -28.044368797804 -32.3616515017709 -8.74538652800287 -22.7005681188621 -37.5001814947847 -56.0006181467191 -80.4569852007527 -18.8838164794435 -23.5869673156783 -28.7351668594414 -66.3835929797739 -63.3159792218796 -66.4348075897949 -72.1612149334634 -79.425139934655 -18.8680806850046 -15.5287740154503 -17.2520418235758 -3.12475878145806 -15.3625262740764 -23.7415265435266 -3.60260030441043 -13.9517126764874 -16.5895734600244 -2.82164692003565 
-34.2 2.43505394686745 -5.98289871599762 -16.5969028108972 -27.4986111403822 -28.0693974034339 -32.461651491046 -8.8452720838686 -22.7254822910826 -37.4501242833601 -55.8755895516492 -80.2569852220376 -18.9337592467339 -23.5619386993235 -28.6351668594413 -66.2837074451923 -63.2910650709432 -66.4848648225037 -72.2862435498175 -79.6251399346542 -18.8430806577864 -15.5787453718773 -17.1520704127124 -3.12478735987013 -15.2875834688424 -23.5916123546474 -3.60251444941275 -14.0265982051349 -16.7394303723172 -2.82190191782648 
-34 2.42538400716885 -6.05787464833957 -16.5219268785552 -27.4486592666771 -28.0944214620707 -32.5616514820248 -8.94517583114636 -22.7504101060184 -37.4000761659539 -55.7505655019011 -80.0569852399476 -18.9837111114182 -23.5369146316658 -28.5351668594417 -66.1838037158254 -63.2661372739183 -66.5349129578207 -72.4112676174765 -79.8251399346551 -18.8180806377892 -15.6287212842221 -17.0520944603733 -3.12481139850983 -15.2126315751401 -23.4416845286032 -3.60244224435137 -14.1015019324155 -16.8893100319397 -2.82211658266586 
-33.8 2.41571357411449 -6.13285440591823 -16.4469471209766 -27.3986997439344 -28.1194416969067 -32.6616514744394 -9.04509487653501 -22.7753493938284 -37.3500356961853 -55.6255452745538 -79.8569852550216 -19.0336706265755 -23.5118943892444 -28.4351668594417 -66.0838846855101 -63.2411980011815 -66.5849534426627 -72.536287859897 -80.0251399346544 -18.7930806177921 -15.6787010218036 -16.9521146827974 -3.12483161334814 -15.1376720324006 -23.291745228285 -3.60238151216418 -14.176420957807 -17.0392088149098 -2.82229727108041 
-33.6 2.40604272616711 -6.20783738037229 -16.3719641465225 -27.3487337886424 -28.1444587160687 -32.7616514680555 -9.14502678703341 -22.8002983298728 -37.3000016577755 -55.50052826169 -79.6569852677038 -19.0836365754835 -23.4868773636984 -28.3351668594416 -65.983952787693 -63.2162490778186 -66.6349874937538 -72.6613048854422 -80.2251399346536 -18.7680806122369 -15.7286839907025 -16.8521317027882 -3.12484862695547 -15.062706071553 -23.1417962929834 -3.60233044265336 -14.2513528627502 -17.1891236943071 -2.82244936300004 
-33.4 2.39637152929804 -6.2828230601926 -16.2969784667022 -27.2987624236328 -28.1694730308795 -32.8616514626865 -9.24496951698513 -22.8252553800042 -37.2499730280866 -55.3755139521807 -79.4569852783742 -19.1336079351241 -23.4618630435187 -28.2351668594416 -65.8840100684127 -63.1912920383586 -66.6850161341141 -72.7863192056229 -80.4251399346546 -18.7430806066817 -15.7786696649676 -16.7521460174128 -3.1248629362106 -14.9877347009878 -22.9918392425987 -3.60228748722962 -14.3262955871468 -17.339052098524 -2.82257736548823 
-33.2 2.38670003897969 -6.35781101527361 -16.2219905116212 -27.2487865089553 -28.194485071283 -32.9616514581711 -9.34492134628811 -22.8502192542262 -37.1999489472276 -55.2505019162407 -79.2569852873532 -19.1835838452861 -23.4368509985996 -28.1351668594415 -65.7840582480897 -63.1663281731166 -66.735040223953 -72.9113312505428 -80.6251399346555 -18.7180806011266 -15.8286576144935 -16.6521580567766 -3.12487497105944 -14.9127587807557 -22.8418753672847 -3.60225135589643 -14.4012474108946 -17.4889918773529 -2.82268508793314 
-33 2.37702830186422 -6.43280088389746 -16.1470006429974 -27.19880676791 -28.2194951988615 -33.0616514543735 -9.4448808283408 -22.875188867655 -37.1499286920326 -55.1254917924218 -79.0569852949104 -19.2335635825338 -23.4118408672235 -28.0351668594415 -65.6840987735935 -63.1413585672442 -66.7850604867046 -73.0363413819182 -80.8251399346547 -18.6930805955714 -15.8786474775622 -16.5521681825976 -3.12488509308234 -14.8377790341556 -22.6919057520608 -3.60222096377011 -14.4762068873921 -17.6389412224742 -2.82277573942846 
-32.8 2.36735635717359 -6.50779236195649 -16.0720091649383 -27.1488238085979 -28.2445037176085 -33.1616514511795 -9.54484674693631 -22.9001633081915 -37.09991165451 -55.0004832768403 -78.8569853012698 -19.2835465386518 -23.3868323452824 -27.9351668594414 -65.5841328613566 -63.1163841330664 -66.8350775305857 -73.1613499038584 -81.025139934654 -18.6680805900163 -15.928638950066 -16.4521766989834 -3.12489360627463 -14.762796069288 -22.5419313091341 -3.60219539875143 -14.5511728004325 -17.7888986135736 -2.82285202191481 
-32.6 2.35768423790132 -6.5827851936353 -15.9970163332595 -27.0988381425514 -28.2695108832408 -33.2616514484905 -9.64481807899938 -22.9251418085757 -37.0498973232155 -54.8754761138669 -78.6569853066177 -19.3335322020093 -23.3618251769612 -27.8351668594414 -65.4841615346423 -63.0914056380309 -66.8850918672291 -73.2863570721805 -81.2251399346549 -18.6430805916821 -15.9786317834107 -16.3521838689704 -3.12490077357229 -14.6878104049068 -22.391952813075 -3.60217390080155 -14.6261441341614 -17.9388627789814 -2.82291621837355 
