pO2 mew_e electrons holes VO{2} VO{1} VO{0} VM{-4} VM{-3} VM{-2} VM{-1} VM{0} Oi{-2} Oi{-1} Oi{0} Mi{4} Mi{3} Mi{2} Mi{1} Mi{0} Ii{0} Ii{-1} Ii{1} IsubO{1} IsubO{2} IsubO{3} IsubZr{-3} IsubZr{-4} IsubZr{-5} Stoich
-35 3.26588428864336 -0.910217977740817 -8.93946504103801 -1.40787277266989 -1.35878352024652 -1.31570448272784 -14.0933139862231 -24.1348592485619 -34.3134489716995 -44.5154865439944 -58.0674610902255 -13.8955471864293 -21.1871125654854 -31.1158222191778 -11.2138047784777 -9.47680068938931 -7.79045925440393 -8.61637637804392 -9.44622060809118 -20.1630751625791 -16.1335944576786 -20.0876522038673 -3.00000001981026 -10.338759562879 -15.5576834725692 -24.497315901998 -27.7108253739828 -26.7855638695855 -0.100589863045538 
-34.9 3.26051179889322 -0.928268750642542 -8.92141426813628 -1.41968211599386 -1.38864363647222 -1.36361537185526 -14.0655170778297 -24.0890115672667 -34.2495505175026 -44.4335373168958 -57.9674610902251 -13.8816487310427 -21.1551633371972 -31.0658222179879 -11.2416016856813 -9.52264836949455 -7.85435770741089 -8.69832560395261 -9.5462206069016 -20.1332150459396 -16.1217851139409 -20.0397413143261 -3.00000002058625 -10.3207087907533 -15.5215819275421 -24.4216081052533 -27.6531683501398 -26.7459576186442 -0.131231127724864 
-34.8 3.25513987109689 -0.946317635462396 -8.90336538331643 -1.43166720630008 -1.4186776115983 -1.41169823180119 -14.0377126171087 -24.0431582217259 -34.1856482871419 -44.3515862017152 -57.8674610902247 -13.8677464996633 -21.1232122209979 -31.0158222169687 -11.269406145383 -9.56850171401616 -7.91825993675236 -8.78027671811393 -9.64622060588277 -20.103181070841 -16.1098000236621 -19.9916584544076 -3.00000002163309 -10.3026599069803 -15.4854841589492 -24.3457207856331 -27.5953299153394 -26.7061680686637 -0.161533447178259 
-34.7 3.24976998932291 -0.964359645948992 -8.88532337282983 -1.4438226978585 -1.44887511364331 -1.4599377443328 -14.0098806590555 -23.9972842531861 -34.1217323081155 -44.2696282122022 -57.7674610902251 -13.8538305197631 -21.0912542306111 -30.9658222160953 -11.2972381025629 -9.6143756816826 -7.98217591490539 -8.86223470675356 -9.746220605009 -20.0729835687855 -16.0976445320932 -19.9434189418655 -3.00000002249577 -10.2846178973568 -15.4494001388387 -24.2696493159111 -27.5373004561041 -26.6661806199149 -0.191485239087294 
-34.6 3.24440345467511 -0.982390410585502 -8.86729260819332 -1.45614339077261 -1.47922657119393 -1.50831996651993 -13.9820037176019 -23.951376547096 -34.0577938373889 -44.1876589768391 -57.6674610902255 -13.8398920482873 -21.0592849944988 -30.9158222153465 -11.3251150432676 -9.66028338702389 -8.04611438488319 -8.94420394136787 -9.84622060425982 -20.0426321116884 -16.0853238396327 -19.8950367201319 -3.00000002369833 -10.2665871339224 -15.4133386107679 -24.1933901534728 -27.4790720583022 -26.6259829867496 -0.22107706032372 
-34.5 3.23904140254982 -1.00040611460772 -8.8492769041711 -1.46862423277258 -1.50972311721612 -1.55683221656434 -13.9540665336904 -23.9054236591623 -33.993825245433 -44.105674680861 -57.5674610902251 -13.8259234556895 -21.0273006978788 -30.8658222147043 -11.3530522265369 -9.70623627431538 -8.1100829761969 -9.0261882367038 -9.94622060361796 -20.0121355658549 -16.0728429978214 -19.8465244702762 -3.00000002452907 -10.2485714307309 -15.3773072035546 -24.1169407203478 -27.4206383291995 -26.5855649616691 -0.250301465129205 
-34.4 3.23368481869763 -1.01840344603911 -8.83127957273972 -1.48126032000415 -1.54035653587907 -1.60546296665868 -13.9260558594156 -23.8594156534561 -33.9298199082954 -44.023672012292 -57.4674610902248 -13.8119181180013 -20.9952980287592 -30.8158222141532 -11.3810629002607 -9.75224427947055 -8.17408831278346 -9.10819090472174 -10.0462206030673 -19.9815021475209 -16.0602069109187 -19.7978937205108 -3.0000000254092 -10.2305741001797 -15.3413125415719 -24.0402992968586 -27.3619942371417 -26.5449182010426 -0.279152865257055 
-34.3 3.228334554105 -1.03637954569069 -8.81330347308814 -1.49404689704784 -1.57111921257435 -1.65420174300554 -13.8979602580223 -23.8133439524112 -33.8657721075989 -43.941648111944 -57.3674610902252 -13.7978703168315 -20.9632741279378 -30.7658222136803 -11.409158501181 -9.79831598004245 -8.23813611300694 -9.1902148045968 -10.1462206025939 -19.9507394713537 -16.0474203344031 -19.749154944692 -3.00000002641005 -10.2125980015293 -15.3053603432696 -23.9634649201195 -27.3031359600541 -26.5040360236067 -0.30762739258249 
-34.2 3.22299133871752 -1.05433196105305 -8.79535105772578 -1.50697935627864 -1.6020040871675 -1.70303903296105 -13.8697699194721 -23.7672011984987 -33.8016769383241 -43.8596005273067 -57.2674610902256 -13.7837751471501 -20.9312265428941 -30.7158222132742 -11.4373488393251 -9.8444587335489 -8.30223128187575 -9.27226238882797 -10.2462206021875 -19.9198545973886 -16.0344878758003 -19.7003176553645 -3.00000002744434 -10.1946455872009 -15.2694555135788 -23.8864372926479 -27.2440607479449 -26.4629132268598 -0.335722764683058 
-34.1 3.21765579404727 -1.07225860393723 -8.7774244148416 -1.52005323669785 -1.63300461047089 -1.75196619914861 -13.8414764910085 -23.7209811271508 -33.737530224092 -43.7775271701905 -57.1674610902252 -13.7696284325697 -20.8991531854295 -30.6658222129255 -11.46564226744 -9.890678804548 -8.36637799575903 -9.35433574559543 -10.3462206018391 -19.888854075618 -16.021413996914 -19.6513904907098 -3.00000002932573 -10.1767189461981 -15.2336022296922 -23.8092166998783 -27.1847667980594 -26.4215459198585 -0.363438153798418 
-34 3.21232844472361 -1.09015771166604 -8.75952530711279 -1.53326422239318 -1.66411470389504 -1.80097540030157 -13.8130729219234 -23.6746784503369 -33.6733284395493 -43.695426277919 -57.0674610902248 -13.7554266477278 -20.8670522928588 -30.6158222126259 -11.4940458362256 -9.93698148106237 -8.4305797800022 -9.43643663756741 -10.4462206015399 -19.8577439827586 -16.0082030117834 -19.6023812901215 -3.00000003019022 -10.1588198393338 -15.1978040150991 -23.7318039305045 -27.1252531364145 -26.3799313659424 -0.39077405948816 
-33.9 3.2070097290286 -1.10802781167638 -8.74165520710244 -1.54660814059703 -1.69532872210923 -1.85005951852611 -13.7845533219644 -23.6282887503676 -33.6090686395696 -43.6132963779289 -56.9674610902245 -13.7411668474909 -20.8349223926115 -30.5658222123683 -11.5225654359272 -9.98337118077431 -8.49483957972449 -9.51856653730004 -10.5462206012829 -19.8265299652759 -15.994859094311 -19.5532971726285 -3.0000000311791 -10.1409497403123 -15.1620638160673 -23.6542002133098 -27.0655195192302 -26.3380678487684 -0.417732185436358 
-33.8 3.20170000850349 -1.12586768924299 -8.72381532953584 -1.5600809595824 -1.7266414186612 -1.89921209264469 -13.7559128322312 -23.5818083830678 -33.5447483947032 -43.5311362554959 -56.8674610902249 -13.7268466024029 -20.8027622699569 -30.5158222121471 -11.5512059254392 -10.0298515478529 -8.55915982436969 -9.60072665951185 -10.6462206010613 -19.7952172698931 -15.9813862764949 -19.5041445996791 -3.00000003256933 -10.1231098641363 -15.1263840623243 -23.5764071508485 -27.0055663343354 -26.2959545414403 -0.444315320547583 
