pO2 mew_e electrons holes VO{2} VO{1} VO{0} VM{-4} VM{-3} VM{-2} VM{-1} VM{0} Oi{-2} Oi{-1} Oi{0} Mi{4} Mi{3} Mi{2} Mi{1} Mi{0} Ii{0} Ii{-1} Ii{1} IsubO{1} IsubO{2} IsubO{3} IsubZr{-3} IsubZr{-4} IsubZr{-5} Stoich
-35 3.22927871582872 -1.0332073016009 -8.81647571717792 -1.17137444576583 -1.24527451720255 -1.32518480354396 -14.5852712816635 -24.5038272201422 -34.5594276194197 -44.6384758678545 -58.0674610902255 -14.1415258400535 -21.3101018952496 -31.1158222250819 -10.7218474889415 -9.10783272371311 -7.54448061258782 -8.4933870600879 -9.44622061399525 -20.2765841782467 -16.3700927972064 -20.0781718956748 -3.00000002652985 -10.2157702457386 -15.3117048315686 -24.9797928833418 -28.3162916791867 -27.5140194986495 0.0150386425495688 
-34.8 3.21620355741557 -1.07713790475634 -8.77254511402249 -1.1794817915026 -1.29731246609475 -1.42115335559158 -14.5609936942845 -24.4356190296077 -34.4472888257298 -44.4824064710092 -57.8674610902247 -14.1293870430153 -21.254032495056 -31.0158222217328 -10.7461250729714 -9.1760409108985 -7.65661940292864 -8.64945645358415 -9.64622061064693 -20.2245462288726 -16.3619854509877 -19.9822033431453 -3.000000029397 -10.1718396454503 -15.2238436281253 -24.8595467467823 -28.2399761457826 -27.4816345684009 -0.0301289858072287 
-34.6 3.20301225698328 -1.12145872796044 -8.72822429081838 -1.18744326862634 -1.3495947664226 -1.51775647912354 -14.5382769871017 -24.3685814992208 -34.3359304721388 -44.3267272942141 -57.6674610902255 -14.1180286868865 -21.198353315723 -30.9158222191958 -10.7688417776172 -9.24307843874835 -7.76797775398259 -8.80513562784221 -9.8462206081091 -20.1722639291707 -16.3540239744898 -19.8856002202392 -3.00000003255994 -10.1275188254091 -15.1352019848796 -24.7402269192305 -28.1649771414349 -27.4509563872573 -0.072590658919744 
-34.4 3.18971455356198 -1.1661370495089 -8.68354596926992 -1.19521739613771 -1.40204721548243 -1.61488724973183 -14.5169902732948 -24.3026164638654 -34.225287115235 -44.1714056157618 -57.4674610902248 -14.1073853280542 -21.1430316353423 -30.8158222172666 -10.7901284894949 -9.30904347217455 -7.87862110895726 -8.96045730436533 -10.0462206061807 -20.1198114817846 -16.3462498486523 -19.7884694513047 -3.00000003616292 -10.0828405074636 -15.0458453453861 -24.6218094384183 -28.0912379821712 -27.421895549542 -0.112302861210045 
-34.2 3.1763181364858 -1.21114703437348 -8.63853598440534 -1.20276739565282 -1.45460719986212 -1.71245721897611 -14.4970302127539 -24.23764641846 -34.1153070849649 -44.0164156006271 -57.2674610902256 -14.0974052963114 -21.0880416187349 -30.7158222157946 -10.8100885485638 -9.37401351610802 -7.9886011377553 -9.11544731802796 -10.2462206047079 -20.0672514992015 -16.3386998509337 -19.690899483857 -3.00000003943145 -10.0378305258676 -14.955825378925 -24.5042794119017 -28.0187179405191 -27.3943854927545 -0.149266793004777 
-34 3.16282913659829 -1.25646808382448 -8.59321493495434 -1.21006141246861 -1.5072222661289 -1.81039333469388 -14.4783144105571 -24.1736095668122 -34.0059491838662 -43.8617366500774 -57.0674610902248 -14.0880473940867 -21.0333626670592 -30.6158222146679 -10.8288043496338 -9.43805036662901 -8.09795903772729 -9.27012626745095 -10.4462206035819 -20.0146364368674 -16.3314058380506 -19.5929633720719 -3.0000000444909 -9.99250948147603 -14.8651832850829 -24.3876274990466 -27.947387077115 -27.3683756788014 -0.183522000780346 
-33.8 3.14925253675369 -1.30208345620675 -8.54759956257207 -1.21707263527568 -1.55984886131825 -1.9086353022655 -14.4607759000862 -24.1104556839591 -33.8971799286307 -43.7073520224597 -56.8674610902248 -14.079278137986 -20.9789780385762 -30.5158222138026 -10.8463428592396 -9.50120424861711 -8.20672829209766 -9.42451089420358 -10.6462206027168 -19.9620098456023 -16.3243946191678 -19.4947214084245 -3.00000004928004 -9.94689411388327 -14.7739525451075 -24.2718470257934 -27.8772219762441 -27.3438259503128 -0.215139839111531 
-33.6 3.13559250675996 -1.34797914158082 -8.501703877198 -1.223779316629 -1.61245122804564 -2.00713335436697 -14.4443586415826 -24.0481427400813 -33.7889712993789 -43.5532477078338 -56.6674610902249 -14.0710695080681 -20.9248737232843 -30.4158222131366 -10.8627601170773 -9.56351719182885 -8.31493692068348 -9.57861520816348 -10.8462206020507 -19.9094074832075 -16.317687942147 -19.3962233606556 -3.00000005427861 -9.90099843350739 -14.6821611793579 -24.1569317201869 -27.8082023560116 -27.3207020154543 -0.244217024730308 
-33.4 3.12185266984952 -1.39414296642025 -8.45554005235857 -1.23016469782185 -1.66500043407792 -2.10584638523867 -14.4290139409403 -23.9866342145996 -33.6812989490578 -43.3994115326732 -56.4674610902249 -14.0633971572328 -20.8710375476096 -30.3158222126225 -10.8781048172054 -9.62502571679642 -8.42260927049047 -9.7324513828099 -11.0462206015366 -19.8568582829184 -16.3113025666974 -19.2975103355272 -3.00000006053598 -9.85483461492571 -14.5898335359364 -24.0428739949303 -27.7403084555945 -27.2989719398766 -0.270869517002815 
-33.2 3.10803630857728 -1.44056390182493 -8.40911911695389 -1.2362168437165 -1.71747351537725 -2.20474040194268 -14.414697682559 -23.9258970208137 -33.5741408198672 -43.2458324680779 -56.2674610902249 -14.0562390276443 -20.8174584826164 -30.2158222122246 -10.8924210751888 -9.68576291018446 -8.52976739928319 -9.8860304470073 -11.2462206011387 -19.8043852084294 -16.3052504276131 -19.1986163256335 -3.00000006774422 -9.80841368672889 -14.4969916723353 -23.9296637270532 -27.6735191231221 -27.2786035428089 -0.295226913571271 
