cutoffenergy	logerrormono	logerrortet	logerrorcubic
300.00	0.8569	0.8541	0.8516
325.00	0.6720	0.6786	0.6686
350.00	0.4809	0.4854	0.4837
375.00	0.2836	0.2874	0.2895
400.00	0.0797	0.0797	0.0821
425.00	-0.1321	-0.1346	-0.1345
450.00	-0.3519	-0.3538	-0.3562
475.00	-0.5810	-0.5797	-0.5832
500.00	-0.8207	-0.8166	-0.8216
525.00	-1.0743	-1.0690	-1.0738
550.00	-1.3454	-1.3400	-1.3421
575.00	-1.6370	-1.6334	-1.6304
600.00	-1.9484	-1.9494	-1.9401
625.00	-2.2689	-2.2811	-2.2670
650.00	-2.5849	-2.5996	-2.5819
675.00	-2.8386	-2.8510	-2.8356
700.00	-2.9962	-2.9953	-2.9675
725.00	-3.0604	-3.0576	-3.0449
750.00	-3.1101	-3.1066	-3.0946
