pO2 mew_e electrons holes VO{2} VO{1} VO{0} VM{-4} VM{-3} VM{-2} VM{-1} VM{0} Oi{-2} Oi{-1} Oi{0} Mi{4} Mi{3} Mi{2} Mi{1} Mi{0} Csi{0} Csi{-1} Csi{1} CssubZr{-5} CssubZr{-4} CssubZr{-3} CssubO{1} CssubO{2} CssubO{3} Stoich
-35 3.26550818174536 -0.911481641427158 -8.93820137735167 -1.40520769009637 -1.35738210135935 -1.315566727527 -14.0983686462545 -24.1386502449069 -34.3159763043582 -44.5167502129668 -58.0674610955115 -13.8980745138474 -21.1883762292172 -31.1158222192232 -11.2087501237778 -9.47300969837571 -7.78793192707667 -8.61511271440301 -9.44622060813661 -19.0641898696731 -22.2873408010536 -17.1748292467328 -18.1228077232343 -13.2372494982247 -7.91465786979973 -10.7543617497901 -5.00083015276614 -8.16067988281218 -0.102540750267504 
-34.8 3.25473261102837 -0.947685969205329 -8.90199704957349 -1.42879247226609 -1.41717121130724 -1.41156016525307 -14.0431859589656 -24.0472632298399 -34.188384961513 -44.3529545423433 -57.8674610971099 -13.8704831671857 -21.1245805547774 -31.0158222170052 -11.2639328104478 -9.56439671282392 -7.91552326930305 -8.77890838440755 -9.64622060591933 -19.0407912605906 -22.3001465197492 -17.1152263098721 -18.0804307568591 -13.1586682040712 -7.79987224786811 -10.7907522528734 -5.00101632807132 -8.12466173033958 -0.163805022578094 
-34.6 3.24396248106348 -0.983872016859206 -8.86581100191962 -1.45304179942432 -1.47760658611935 -1.50818158771905 -13.9879301516786 -23.955821374899 -34.0607570589182 -44.1891405920947 -57.6674610992074 -13.8428552608642 -21.060766600802 -30.9158222153759 -11.3191886182023 -9.65583856823221 -8.04315117236522 -8.9427223351236 -9.84622060428925 -19.0167802984822 -22.3123216052947 -17.0550293001099 -18.0373500367469 -13.0794014363052 -7.68441943244821 -10.8271766672065 -5.00125469475052 -8.08871404936452 -0.223709851769603 
-34.4 3.23320737906067 -1.02000757277768 -8.82967544600114 -1.47791337738865 -1.53861372000215 -1.60532427752033 -13.932472378106 -23.8642280454079 -33.9330281735087 -44.0252761507667 -57.4674611019609 -13.8151263715021 -20.9969021555214 -30.815822214177 -11.3746463933301 -9.74743189927852 -8.17088005933001 -9.10658677800687 -10.046220603091 -18.9922155099966 -22.3238923727276 -16.9943289557058 -17.9934630318062 -12.999378875446 -7.56826131567054 -10.8636190138027 -5.00156148542825 -8.05288528412415 -0.282190475861145 
-34.2 3.22247447000711 -1.05606856366105 -8.79361445511778 -1.50336715585675 -1.60012848935361 -1.70290003775516 -13.8767163452644 -23.7724110216829 -33.8051501589003 -43.861337145275 -57.2674611055858 -13.7872483523852 -20.9329631455212 -30.7158222132933 -11.4304024289122 -9.83924892574399 -8.29875807667884 -9.27052578623906 -10.2462206022066 -18.9671586260307 -22.3348964796451 -16.9332110808566 -17.9487111067657 -12.9185659595221 -7.45138740886328 -10.9000769000719 -5.00195838081407 -8.01722118862623 -0.339211909857816 
-34 3.21176895335429 -1.09203752011941 -8.75764549865941 -1.52936531041746 -1.66209560037269 -1.80083610523261 -13.8205921758729 -23.6803178958331 -33.6770880765921 -43.6973061065084 -57.0674611103608 -13.7591862646499 -20.8689321013275 -30.6158222126413 -11.4865266024274 -9.93134205571761 -8.42682016311083 -9.43455682912942 -10.4462206015553 -18.9416761838202 -22.3453829938929 -16.8717596821876 -17.903073452274 -12.8369593485721 -7.33381184145488 -10.9365615695324 -5.00247409381625 -7.98176794517043 -0.39476461907089 
-33.8 3.20109444861589 -1.12790228112085 -8.72178073765797 -1.55587218866665 -1.72446723962332 -1.89907250548467 -13.7640512261797 -23.5879121851385 -33.548817604896 -43.5331708738109 -56.8674611166619 -13.730915786171 -20.8047968618472 -30.5158222121595 -11.5430675579401 -10.0237477722317 -8.55509064062635 -9.59869206764638 -10.6462206010737 -18.9158418800187 -22.3554134510929 -16.8100606173848 -17.8565629602624 -12.7545840955591 -7.21557182744043 -10.973098905463 -5.00314666874579 -7.94657575909815 -0.448860414668555 
-33.6 3.19045331658742 -1.16365491474072 -8.6860281040381 -1.58285423281163 -1.78720191738817 -1.99755981686939 -13.7070617689804 -23.4951700943192 -33.4203228804569 -43.3689235157519 -56.6674611249831 -13.7024210530548 -20.7405494951111 -30.4158222118036 -11.6000570231046 -10.1164898710161 -8.68358537303062 -9.76293943367052 -10.8462206007177 -18.8897402254884 -22.3650644301824 -16.7482063292346 -17.8092244825086 -12.6714929841854 -7.09672808244683 -11.0097319290539 -5.00402705871604 -7.91170351544891 -0.501528616046394 
-33.4 3.17984692407344 -1.19929082871738 -8.65039219006144 -1.61027988758649 -1.85026348613969 -2.09625729959757 -13.6496054358818 -23.402077847244 -33.2915947194051 -43.2045594407234 -56.4674611359779 -13.6736928807449 -20.6761854088245 -30.3158222115403 -11.6575133669347 -10.2095821288228 -8.81231354481399 -9.92730351943055 -11.0462206004544 -18.8634701500256 -22.3744302686963 -16.6863003397951 -17.7611339881872 -12.5877665758873 -6.9773657601721 -11.0465234226055 -5.00518263829174 -7.87722318104756 -0.552812515819702 
-33.2 3.16927585997553 -1.23480804442844 -8.61487497435038 -1.63811949859105 -1.91362031285532 -2.19513134202426 -13.591674313255 -23.3086295089061 -33.1626291653561 -43.0400766709634 -56.2674611505068 -13.6447273119722 -20.6117026243407 -30.2158222113455 -11.7154445038956 -10.3030304814948 -8.94127911319701 -10.0917863035246 -11.2462206002595 -18.8371510102422 -22.3836283446239 -16.6244639843006 -17.7124009416828 -12.5035163136719 -6.85759828224565 -11.0835611097329 -5.00670310970736 -7.8432264367525 -0.602766175586628 
