mono_x	mono_y	tet_x	tet_y	cubic_x	cubic_y
0 0 0 0 0 0
0.001952	0	0.045336	0	0.026557	0
0.051952	0	0.095336	0	0.076557	0
0.101952	0	0.145336	0	0.126557	0
0.151952	0	0.195336	0	0.176557	0
0.201952	0	0.245336	0	0.226557	0
0.251952	0	0.295336	0	0.276557	0
0.301952	0	0.345336	0	0.326557	0
0.351952	0	0.395336	0	0.376557	0
0.401952	0	0.445336	0	0.426557	0
0.451952	0	0.495336	0	0.476557	0
0.501952	0	0.545336	0	0.526557	0
0.551952	0	0.595336	0	0.576557	0
0.601952	0	0.645336	0	0.626557	0
0.651952	0	0.695336	0	0.676557	0
0.701952	0	0.745336	0	0.726557	0
0.751952	0	0.795336	0	0.776557	0
0.801952	0	0.845336	0	0.826557	0
0.851952	0	0.895336	0	0.876557	0
0.901952	0	0.945336	0	0.926557	0
0.951952	0	0.995336	0	0.976557	0
1.001952	0	1.045336	0	1.026557	0
1.051952	0	1.095336	0	1.076557	0
1.101952	0	1.145336	0	1.126557	0
1.151952	0	1.195336	0	1.176557	0
1.201952	0	1.245336	0	1.226557	0
1.251952	0	1.295336	0	1.276557	0
1.301952	0	1.345336	0	1.326557	0
1.351952	0	1.395336	0	1.376557	0
1.401952	0	1.445336	0	1.426557	0
1.451952	0	1.495336	0	1.476557	0
1.501952	0	1.545336	0	1.526557	0
1.551952	0	1.595336	0	1.576557	0
1.601952	0	1.645336	0	1.626557	0
1.651952	0.000004	1.695336	0	1.676557	0
1.701952	0.00005	1.745336	0	1.726557	0
1.751952	0.000425	1.795336	0	1.776557	0
1.801952	0.002711	1.845336	0	1.826557	0
1.851952	0.013046	1.895336	0	1.876557	0
1.901952	0.048078	1.945336	0	1.926557	0
1.951952	0.138217	1.995336	0.000001	1.976557	0
2.001952	0.317375	2.045336	0.000014	2.026557	0
2.051952	0.598134	2.095336	0.000111	2.076557	0
2.101952	0.953045	2.145336	0.00064	2.126557	0
2.151952	1.32705	2.195336	0.002766	2.176557	0
2.201952	1.676945	2.245336	0.009093	2.226557	0.000001
2.251952	1.998539	2.295336	0.023299	2.276557	0.00001
2.301952	2.317181	2.345336	0.048253	2.326557	0.000102
2.351952	2.66896	2.395336	0.085046	2.376557	0.00074
2.401952	3.09787	2.445336	0.135375	2.426557	0.00393
2.451952	3.653138	2.495336	0.2035	2.476557	0.015422
2.501952	4.365149	2.545336	0.291734	2.526557	0.045498
2.551952	5.191633	2.595336	0.392671	2.576557	0.103591
2.601952	5.970762	2.645336	0.489455	2.626557	0.188999
2.651952	6.482581	2.695336	0.568072	2.676557	0.289733
2.701952	6.623063	2.745336	0.630122	2.726557	0.39157
2.751952	6.504518	2.795336	0.691566	2.776557	0.484828
2.801952	6.355249	2.845336	0.770013	2.826557	0.56599
2.851952	6.321261	2.895336	0.876226	2.876557	0.636783
2.901952	6.360024	2.945336	1.013863	2.926557	0.699779
2.951952	6.330107	2.995336	1.181931	2.976557	0.759099
3.001952	6.176524	3.045336	1.382757	3.026557	0.823807
3.051952	5.98633	3.095336	1.633412	3.076557	0.900121
3.101952	5.864646	3.145336	1.960547	3.126557	0.985847
3.151952	5.798673	3.195336	2.373605	3.176557	1.087134
3.201952	5.654963	3.245336	2.843579	3.226557	1.236127
3.251952	5.325575	3.295336	3.307957	3.276557	1.470441
3.301952	4.884302	3.345336	3.696475	3.326557	1.788406
3.351952	4.548525	3.395336	3.957512	3.376557	2.144469
3.401952	4.47176	3.445336	4.058928	3.426557	2.502048
3.451952	4.626137	3.495336	3.968465	3.476557	2.870561
3.501952	4.874633	3.545336	3.666207	3.526557	3.280533
3.551952	5.07165	3.595336	3.198062	3.576557	3.765537
3.601952	5.097269	3.645336	2.69124	3.626557	4.38726
3.651952	4.908169	3.695336	2.293988	3.676557	5.213991
3.701952	4.602674	3.745336	2.103244	3.726557	6.21784
3.751952	4.360347	3.795336	2.13752	3.776557	7.200475
3.801952	4.266233	3.845336	2.350007	3.826557	7.865337
3.851952	4.237993	3.895336	2.655022	3.876557	8.006944
3.901952	4.158765	3.945336	2.953237	3.926557	7.633081
3.951952	4.031809	3.995336	3.157941	3.976557	6.921983
4.001952	3.963707	4.045336	3.224041	4.026557	6.103721
4.051952	4.038481	4.095336	3.159909	4.076557	5.357039
4.101952	4.243584	4.145336	3.006456	4.126557	4.773431
4.151952	4.488341	4.195336	2.805401	4.176557	4.402157
4.201952	4.674552	4.245336	2.591085	4.226557	4.286031
4.251952	4.761893	4.295336	2.408542	4.276557	4.426831
4.301952	4.772908	4.345336	2.313284	4.326557	4.763217
4.351952	4.746705	4.395336	2.326154	4.376557	5.211254
4.401952	4.696617	4.445336	2.404891	4.426557	5.676764
4.451952	4.608501	4.495336	2.48172	4.476557	6.018861
4.501952	4.485759	4.545336	2.512342	4.526557	6.092588
4.551952	4.39312	4.595336	2.48485	4.576557	5.880541
4.601952	4.424284	4.645336	2.408878	4.626557	5.52325
4.651952	4.615441	4.695336	2.307108	4.676557	5.177016
4.701952	4.919936	4.745336	2.203462	4.726557	4.898456
4.751952	5.264853	4.795336	2.111235	4.776557	4.677847
4.801952	5.592513	4.845336	2.032062	4.826557	4.50092
4.851952	5.850854	4.895336	1.96125	4.876557	4.371178
4.901952	5.988262	4.945336	1.891687	4.926557	4.321369
4.951952	5.980601	4.995336	1.814301	4.976557	4.388176
5.001952	5.851652	5.045336	1.721857	5.026557	4.561687
5.051952	5.658795	5.095336	1.621831	5.076557	4.776077
5.101952	5.473524	5.145336	1.54083	5.126557	4.931334
5.151952	5.37842	5.195336	1.507789	5.176557	4.940366
5.201952	5.446972	5.245336	1.533402	5.226557	4.807743
5.251952	5.694603	5.295336	1.605482	5.276557	4.616567
5.301952	6.055969	5.345336	1.703284	5.326557	4.419487
5.351952	6.419279	5.395336	1.814778	5.376557	4.212076
5.401952	6.684756	5.445336	1.938597	5.426557	3.982948
5.451952	6.814253	5.495336	2.07627	5.476557	3.732785
5.501952	6.843251	5.545336	2.227079	5.526557	3.476892
5.551952	6.827381	5.595336	2.386582	5.576557	3.243255
5.601952	6.774069	5.645336	2.545323	5.626557	3.051607
5.651952	6.654843	5.695336	2.68641	5.676557	2.90887
5.701952	6.473234	5.745336	2.791698	5.726557	2.82084
5.751952	6.28054	5.795336	2.85661	5.776557	2.785884
5.801952	6.147407	5.845336	2.8939	5.826557	2.790538
5.851952	6.150239	5.895336	2.924162	5.876557	2.82571
5.901952	6.331363	5.945336	2.96423	5.926557	2.896508
5.951952	6.633707	5.995336	3.013414	5.976557	3.010267
6.001952	6.918081	6.045336	3.05018	6.026557	3.171428
6.051952	7.070515	6.095336	3.056804	6.076557	3.389801
