temperature	monoclinic	cubic	tetragonal
10	-10.50	-10.33	-10.42
15	-10.50	-10.33	-10.42
20	-10.50	-10.33	-10.42
25	-10.50	-10.33	-10.42
30	-10.51	-10.33	-10.42
34.9	-10.51	-10.33	-10.42
39.9	-10.51	-10.33	-10.42
44.9	-10.51	-10.33	-10.42
49.9	-10.51	-10.33	-10.42
54.9	-10.51	-10.33	-10.42
59.9	-10.51	-10.34	-10.43
64.9	-10.51	-10.34	-10.43
69.9	-10.51	-10.34	-10.43
74.9	-10.51	-10.34	-10.43
79.9	-10.51	-10.34	-10.43
84.8	-10.51	-10.34	-10.43
89.8	-10.51	-10.35	-10.44
94.8	-10.52	-10.35	-10.44
99.8	-10.52	-10.35	-10.44
104.8	-10.52	-10.35	-10.45
109.8	-10.52	-10.36	-10.45
114.8	-10.53	-10.36	-10.45
119.8	-10.53	-10.37	-10.46
124.8	-10.53	-10.37	-10.46
129.8	-10.53	-10.37	-10.47
134.7	-10.54	-10.38	-10.47
139.7	-10.54	-10.38	-10.48
144.7	-10.55	-10.39	-10.48
149.7	-10.55	-10.39	-10.49
154.7	-10.55	-10.40	-10.49
159.7	-10.56	-10.40	-10.50
164.7	-10.56	-10.41	-10.50
169.7	-10.57	-10.42	-10.51
174.7	-10.57	-10.42	-10.52
179.7	-10.58	-10.43	-10.52
184.6	-10.59	-10.44	-10.53
189.6	-10.59	-10.44	-10.54
194.6	-10.60	-10.45	-10.55
199.6	-10.61	-10.46	-10.55
204.6	-10.61	-10.47	-10.56
209.6	-10.62	-10.48	-10.57
214.6	-10.63	-10.48	-10.58
219.6	-10.63	-10.49	-10.59
224.6	-10.64	-10.50	-10.60
229.6	-10.65	-10.51	-10.61
234.5	-10.66	-10.52	-10.62
239.5	-10.67	-10.53	-10.63
244.5	-10.68	-10.54	-10.64
249.5	-10.68	-10.55	-10.65
254.5	-10.69	-10.56	-10.66
259.5	-10.70	-10.57	-10.67
264.5	-10.71	-10.58	-10.68
269.5	-10.72	-10.59	-10.69
274.5	-10.73	-10.60	-10.70
279.5	-10.74	-10.61	-10.71
284.4	-10.75	-10.62	-10.73
289.4	-10.76	-10.64	-10.74
294.4	-10.77	-10.65	-10.75
299.4	-10.78	-10.66	-10.76
304.4	-10.80	-10.67	-10.77
309.4	-10.81	-10.68	-10.79
314.4	-10.82	-10.70	-10.80
319.4	-10.83	-10.71	-10.81
324.4	-10.84	-10.72	-10.83
329.4	-10.85	-10.74	-10.84
334.3	-10.87	-10.75	-10.85
339.3	-10.88	-10.76	-10.87
344.3	-10.89	-10.78	-10.88
349.3	-10.91	-10.79	-10.90
354.3	-10.92	-10.81	-10.91
359.3	-10.93	-10.82	-10.93
364.3	-10.94	-10.83	-10.94
369.3	-10.96	-10.85	-10.96
374.3	-10.97	-10.86	-10.97
379.3	-10.99	-10.88	-10.99
384.2	-11.00	-10.89	-11.00
389.2	-11.01	-10.91	-11.02
394.2	-11.03	-10.92	-11.03
399.2	-11.04	-10.94	-11.05
404.2	-11.06	-10.96	-11.07
409.2	-11.07	-10.97	-11.08
414.2	-11.09	-10.99	-11.10
419.2	-11.10	-11.00	-11.11
424.2	-11.12	-11.02	-11.13
429.2	-11.13	-11.04	-11.15
434.1	-11.15	-11.05	-11.17
439.1	-11.17	-11.07	-11.18
444.1	-11.18	-11.09	-11.20
449.1	-11.20	-11.10	-11.22
454.1	-11.21	-11.12	-11.24
459.1	-11.23	-11.14	-11.25
464.1	-11.25	-11.16	-11.27
469.1	-11.26	-11.18	-11.29
474.1	-11.28	-11.19	-11.31
479.1	-11.30	-11.21	-11.33
484	-11.32	-11.23	-11.35
489	-11.33	-11.25	-11.36
494	-11.35	-11.27	-11.38
499	-11.37	-11.28	-11.40
504	-11.39	-11.30	-11.42
509	-11.40	-11.32	-11.44
514	-11.42	-11.34	-11.46
519	-11.44	-11.36	-11.48
524	-11.46	-11.38	-11.50
529	-11.48	-11.40	-11.52
533.9	-11.50	-11.42	-11.54
538.9	-11.51	-11.44	-11.56
543.9	-11.53	-11.46	-11.58
548.9	-11.55	-11.48	-11.60
553.9	-11.57	-11.50	-11.62
558.9	-11.59	-11.52	-11.64
563.9	-11.61	-11.54	-11.66
568.9	-11.63	-11.56	-11.68
573.9	-11.65	-11.58	-11.71
578.9	-11.67	-11.60	-11.73
583.8	-11.69	-11.62	-11.75
588.8	-11.71	-11.64	-11.77
593.8	-11.73	-11.66	-11.79
598.8	-11.75	-11.69	-11.81
603.8	-11.77	-11.71	-11.83
608.8	-11.79	-11.73	-11.86
613.8	-11.81	-11.75	-11.88
618.8	-11.83	-11.77	-11.90
623.8	-11.85	-11.79	-11.92
628.8	-11.87	-11.82	-11.95
633.7	-11.89	-11.84	-11.97
638.7	-11.92	-11.86	-11.99
643.7	-11.94	-11.88	-12.01
648.7	-11.96	-11.90	-12.04
653.7	-11.98	-11.93	-12.06
658.7	-12.00	-11.95	-12.08
663.7	-12.02	-11.97	-12.11
668.7	-12.05	-11.99	-12.13
673.7	-12.07	-12.02	-12.15
678.7	-12.09	-12.04	-12.18
683.6	-12.11	-12.06	-12.20
688.6	-12.13	-12.09	-12.22
693.6	-12.16	-12.11	-12.25
698.6	-12.18	-12.13	-12.27
703.6	-12.20	-12.16	-12.29
708.6	-12.22	-12.18	-12.32
713.6	-12.25	-12.20	-12.34
718.6	-12.27	-12.23	-12.37
723.6	-12.29	-12.25	-12.39
728.6	-12.32	-12.28	-12.42
733.5	-12.34	-12.30	-12.44
738.5	-12.36	-12.32	-12.47
743.5	-12.39	-12.35	-12.49
748.5	-12.41	-12.37	-12.52
