pO2 mew_e electrons holes VO{2} VO{1} VO{0} VM{-4} VM{-3} VM{-2} VM{-1} VM{0} Oi{-2} Oi{-1} Oi{0} Mi{4} Mi{3} Mi{2} Mi{1} Mi{0} Stoich
-35 5.99369329220356 2.1123306615156 -13.0242620547891 0.14943166243878 2.10276557119763 5.05060194958852 -9.51758570552264 -19.658583976071 -30.5809969916321 -42.197233398668 -54.3173691372102 -11.650090058879 -24.7712295814902 -22.2567551657334 -32.2124655597483 -25.2961146723708 -19.3718916770654 -9.65913810557255 -7.62833985757837 5.82924802962949 
-34.8 5.97407714397522 2.06290013860944 -12.974831531883 0.148292708251072 2.05219609410376 4.95060194958848 -9.51530779714694 -19.6068755447891 -30.4798580374441 -42.0466639215738 -54.1173691372098 -11.6489511046913 -24.7206601043964 -22.1567551657334 -32.214743468124 -25.3478231036527 -19.4730306312534 -9.80970758266674 -7.82833985757873 5.72930840813908 
-34.6 5.9544871805152 2.01353559842196 -12.9254669916955 0.147021788625985 2.00156063429119 4.85060194958844 -9.51276595789647 -19.5549691653512 -30.3785871178187 -41.896028461761 -53.9173691372094 -11.6476801850662 -24.6700246445838 -22.0567551657334 -32.2172853073744 -25.3997294830906 -19.5743015508788 -9.96034304247963 -8.02833985757909 5.62937613617793 
-34.4 5.93492625888481 1.96424424043152 -12.876175633705 0.145604504606971 1.95085199228174 4.75060194958855 -9.50993138985902 -19.5028432393233 -30.2771698338003 -41.7453198197522 -53.7173691372102 -11.6462629010472 -24.6193160025743 -21.9567551657335 -32.2201198754119 -25.4518554091185 -19.6757188348971 -10.1110516844884 -8.22833985757831 5.52945211341066 
-34.2 5.91539750571214 1.91503394339493 -12.8269653366684 0.144025098680122 1.9000622893183 4.65060194958851 -9.50677257800503 -19.4504741304327 -30.1755904278732 -41.5945301167884 -53.5173691372099 -11.6446834951203 -24.5685262996109 -21.8567551657334 -32.2232786872659 -25.5042245180091 -19.7772982408243 -10.2618413874522 -8.42833985757867 5.42953734761472 
-34 5.89590433275819 1.86591330457236 -12.7778446978459 0.142266376325208 1.84918292814082 4.55060194958847 -9.50325513329492 -19.3978360469 -30.0738317055179 -41.4436507556106 -53.3173691372095 -11.6429247727654 -24.5176469384334 -21.7567551657334 -32.226796131976 -25.5568626015418 -19.8790569631795 -10.41272074863 -8.62833985757903 5.32963296846025 
-33.8 5.87645045100947 1.81689167523922 -12.7288230685127 0.140309634991467 1.79820455747393 4.45060194958844 -9.49934165062773 -19.3449009348997 -29.9718749641844 -41.292672384944 -53.1173691372097 -11.6409680314317 -24.4666685677665 -21.6567551657334 -32.2307096146432 -25.6097977135421 -19.981013704513 -10.5636991192966 -8.82833985757882 5.22974024279192 
-33.6 5.8570398826124 1.76797919075937 -12.6799105840329 0.138134603951264 1.74711704195388 4.35060194958854 -9.49499158854732 -19.2916383883395 -29.8696999331443 -41.141584869424 -52.9173691372099 -11.6387930003915 -24.4155810522465 -21.5567551657335 -32.2350596767236 -25.6630602601024 -20.0831887355531 -10.7147866348166 -9.02833985757861 5.12986059168868 
-33.4 5.83767696985765 1.71918679322481 -12.6311181864983 0.135719399020341 1.6959094394884 4.25060194958851 -9.49016117868519 -19.2380155809428 -29.7672847282131 -40.9903772669582 -52.7173691372096 -11.6363777954605 -24.364373449781 -21.4567551657334 -32.2398900865857 -25.716683067499 -20.1856039404844 -10.8659942372824 -9.22833985757897 5.02999560958414 
-33.2 5.81836638032374 1.67052624441694 -12.5824576376905 0.133040496636044 1.64456998829624 4.15060194958847 -9.48480337391688 -19.1839972273666 -29.664605825829 -40.8390378157663 -52.5173691372098 -11.6336988930762 -24.3130339985888 -21.3567551657334 -32.245247891354 -25.7707014210752 -20.2882828428684 -11.0173336884743 -9.42833985757876 4.93014708575804 
