pO2 mew_e electrons holes VO{2} VO{1} VO{0} VM{-4} VM{-3} VM{-2} VM{-1} VM{0} Oi{-2} Oi{-1} Oi{0} Mi{4} Mi{3} Mi{2} Mi{1} Mi{0} Stoich
-35 1.7502685546875 -11.2923861412692 -11.2874153856256 -16.4794733420666 -22.3597470303899 -32.0614885432736 -30.883113310724 -39.4538360926665 -48.8689906596723 -61.9849685026899 -81.0568767478067 -29.9527340972773 -29.2714261245952 -29.0351668594415 -44.2457577441056 -46.562602795128 -55.0658899719601 -66.1767561245455 -78.8251399346538 0 
-34.8 1.7502685546875 -11.2923861412692 -11.2874153856256 -16.5794733420667 -22.45974703039 -32.1614885432737 -30.6831133107231 -39.2538360926655 -48.6689906596714 -61.7849685026889 -80.8568767478057 -29.8527340972772 -29.1714261245952 -28.9351668594415 -44.4457577441065 -46.762602795129 -55.2658899719611 -66.3767561245464 -79.0251399346548 0 
-34.6 1.7502685546875 -11.2923861412692 -11.2874153856256 -16.6794733420667 -22.55974703039 -32.2614885432737 -30.4831133107221 -39.0538360926645 -48.4689906596704 -61.5849685026879 -80.6568767478048 -29.7527340972772 -29.0714261245951 -28.8351668594414 -44.6457577441075 -46.96260279513 -55.4658899719621 -66.5767561245474 -79.2251399346557 0 
-34.4 1.7502685546875 -11.2923861412692 -11.2874153856256 -16.7794733420668 -22.6597470303901 -32.3614885432738 -30.2831133107229 -38.8538360926653 -48.2689906596712 -61.3849685026887 -80.4568767478056 -29.6527340972771 -28.9714261245951 -28.7351668594414 -44.8457577441067 -47.1626027951292 -55.6658899719613 -66.7767561245467 -79.425139934655 0 
-34.2 1.7502685546875 -11.2923861412692 -11.2874153856256 -16.8794733420668 -22.7597470303901 -32.4614885432738 -30.0831133107237 -38.6538360926661 -48.068990659672 -61.1849685026895 -80.2568767478063 -29.5527340972771 -28.871426124595 -28.6351668594413 -45.045757744106 -47.3626027951284 -55.8658899719605 -66.9767561245459 -79.6251399346542 0 
-34 1.7502685546875 -11.2923861412692 -11.2874153856256 -16.9794733420664 -22.8597470303897 -32.5614885432734 -29.8831133107227 -38.4538360926651 -47.868990659671 -60.9849685026885 -80.0568767478054 -29.4527340972775 -28.7714261245954 -28.5351668594417 -45.2457577441069 -47.5626027951294 -56.0658899719615 -67.1767561245468 -79.8251399346551 0 
-33.8 1.7502685546875 -11.2923861412692 -11.2874153856256 -17.0794733420665 -22.9597470303898 -32.6614885432735 -29.6831133107235 -38.2538360926659 -47.6689906596718 -60.7849685026893 -79.8568767478061 -29.3527340972774 -28.6714261245954 -28.4351668594417 -45.4457577441061 -47.7626027951286 -56.2658899719607 -67.376756124546 -80.0251399346544 0 
-33.6 1.7502685546875 -11.2923861412692 -11.2874153856256 -17.1794733420665 -23.0597470303898 -32.7614885432735 -29.4831133107242 -38.0538360926667 -47.4689906596725 -60.5849685026901 -79.6568767478069 -29.2527340972774 -28.5714261245953 -28.3351668594416 -45.6457577441054 -47.9626027951278 -56.4658899719599 -67.5767561245453 -80.2251399346536 0 
-33.4 1.7502685546875 -11.2923861412692 -11.2874153856256 -17.2794733420666 -23.1597470303899 -32.8614885432736 -29.2831133107233 -37.8538360926657 -47.2689906596716 -60.3849685026891 -79.4568767478059 -29.1527340972773 -28.4714261245953 -28.2351668594416 -45.8457577441063 -48.1626027951288 -56.6658899719609 -67.7767561245463 -80.4251399346546 0 
-33.2 1.7502685546875 -11.2923861412692 -11.2874153856256 -17.3794733420666 -23.2597470303899 -32.9614885432736 -29.0831133107223 -37.6538360926647 -47.0689906596706 -60.1849685026881 -79.256876747805 -29.0527340972773 -28.3714261245952 -28.1351668594415 -46.0457577441073 -48.3626027951298 -56.8658899719619 -67.9767561245472 -80.6251399346555 0 
