pO2 mew_e electrons holes VO{2} VO{1} VO{0} VM{-4} VM{-3} VM{-2} VM{-1} VM{0} Oi{-2} Oi{-1} Oi{0} Mi{4} Mi{3} Mi{2} Mi{1} Mi{0} Stoich
-35 3.22898750300379 -1.03418573372705 -8.81549728505177 -1.16929434965116 -1.24417285321403 -1.32506157168158 -14.5891850101681 -24.5067625165206 -34.561384483672 -44.6394542999806 -58.0674610902255 -14.1434827043673 -21.3110803274372 -31.1158222251434 -10.7179337604984 -9.10489742739617 -7.54252374839702 -8.49240862802325 -9.44622061405675 0.013731272077372 
-34.8 3.2158966626162 -1.07816902600288 -8.77151399277595 -1.1772967839831 -1.29615857982179 -1.42103059056517 -14.5651181792706 -24.4387123933473 -34.4493510682229 -44.4834375922557 -57.8674610902247 -14.1314492855584 -21.2550636163525 -31.0158222217829 -10.7420005880353 -9.17294754720891 -7.65455716048559 -8.64842533238764 -9.64622061069697 -0.0315878837779603 
-34.6 3.20268950232958 -1.12254313597756 -8.72713988280126 -1.18515216521301 -1.34838807102639 -1.51763419174445 -14.5426146191702 -24.3718347232722 -34.338099288173 -44.3278117022312 -57.6674610902255 -14.1201975029615 -21.1994377237809 -30.9158222192365 -10.7645041455894 -9.23982521473772 -7.76580893798909 -8.80405121986583 -9.84622060814984 -0.0742060155459825 
-34.4 3.18937584681741 -1.16727505419774 -8.68240796458108 -1.19281958676789 -1.40078741080145 -1.61476544973969 -14.5215422920501 -24.306030477932 -34.2275631246127 -44.1725436204506 -57.4674610902248 -14.1096613374651 -21.1441696400644 -30.8158222172998 -10.7855764707727 -9.30562945814121 -7.87634509961275 -8.95931929970967 -10.0462206062139 -0.114077847550874 
-34.2 3.17596347242376 -1.21233865329471 -8.63734436548411 -1.20026285324782 -1.45329427637835 -1.71233591441356 -14.5017966884388 -24.2412212752237 -34.1176903228074 -44.0176072195484 -57.2674610902256 -14.0997885341809 -21.0892332376832 -30.7158222158217 -10.8053220729059 -9.37043865937137 -7.98621789993989 -9.11425569913377 -10.2462206047349 -0.151202764958808 
-34 3.16245859706558 -1.25771304198487 -8.59196997679395 -1.20745069284075 -1.50585650466144 -1.81027253138682 -14.4832942431987 -24.1773444412934 -34.008439100187 -43.8629816082378 -57.0674610902248 -14.0905373104295 -21.0346076252416 -30.6158222146899 -10.8238245170142 -9.43431549216987 -8.09546912142855 -9.26888130931259 -10.4462206036039 -0.185618524697285 
-33.8 3.14886628928984 -1.30338119069822 -8.5463018280806 -1.21435686744712 -1.55843082798116 -1.90851500341989 -14.4659668380521 -24.1143488874335 -33.8997753976137 -43.7086497569512 -56.8674610902248 -14.0818736069869 -20.9802757730856 -30.5158222138206 -10.8411519212917 -9.49731104516065 -8.20413282313268 -9.42321315973008 -10.6462206027348 -0.217394790779611 
-33.6 3.13519080171186 -1.34932881127473 -8.5003542075041 -1.22096018316726 -1.6109817642778 -2.00701356029303 -14.4497573203582 -24.052191749163 -33.7916706387667 -43.5545973775277 -56.6674610902249 -14.0737688474706 -20.9262233929928 -30.4158222131513 -10.8573614383163 -9.5594681827618 -8.31223758131032 -9.57726553848423 -10.8462206020654 -0.246626748836483 
-33.4 3.12143583597503 -1.39554346673874 -8.45413955204008 -1.2272444051465 -1.66348064172106 -2.1057270932003 -14.4346159422142 -23.9908357155551 -33.6840999496948 -43.4008120329917 -56.4674610902249 -14.0661981578818 -20.87243804794 -30.3158222126345 -10.8725028159434 -9.6208242158529 -8.41980826986545 -9.73105088250336 -11.0462206015485 -0.273429030892484 
-33.2 3.10760474721504 -1.44201388432937 -8.40766913444945 -1.23319808289175 -1.71590473705694 -2.20462160612681 -14.4204976125768 -23.930246968327 -33.5770407848761 -43.2472824505824 -56.2674610902249 -14.0591389926629 -20.8189084651306 -30.2158222122344 -10.8866211451808 -9.6814129626809 -8.52686743428407 -9.88458046451262 -11.2462206011484 -0.297930137966351 
-33 3.09370069621205 -1.4887294442916 -8.36095357448723 -1.23881429468184 -1.76823650880925 -2.30366893784135 -14.4073598524257 -23.8703936482137 -33.4704719048005 -43.0939980105446 -56.0674610902249 -14.0525701122769 -20.7656240247823 -30.1158222119239 -10.8997589050214 -9.74126628248373 -8.63343631404913 -10.0378649042399 -11.4462206008379 -0.32026749265154 
-32.8 3.07972675724021 -1.53567981751788 -8.31400320126094 -1.24409032219075 -1.82046290954445 -2.40284571180283 -14.3951613453309 -23.8112447678926 -33.3643726512531 -42.9409483837709 -55.8674610902249 -14.046470858488 -20.7125743977671 -30.0158222116824 -10.9119574118747 -9.80041516256333 -8.73953556735502 -10.1909145307721 -11.6462206005964 -0.340583195388068 
-32.6 3.06568598922843 -1.58285472645836 -8.26682829232046 -1.24902726858563 -1.87257476487981 -2.50213247607867 -14.3838609810928 -23.752769494714 -33.2587224691341 -42.7881232927114 -55.667461090225 -14.0408206761807 -20.6597493065193 -29.9158222114941 -10.9232577759245 -9.85889043555358 -8.84518574928575 -10.3437396216433 -11.8462206004081 -0.359020504417675 
-32.4 3.0515814773132 -1.63024380550967 -8.21943921326915 -1.25362963486706 -1.92456621021255 -2.60151300046273 -14.3734172972981 -23.694936731868 -33.1535006272367 -42.6355123717628 -55.467461090225 -14.0355988341362 -20.6071383854235 -29.815822211347 -10.9337014595721 -9.91672319825249 -8.95040759103596 -10.4963505424448 -12.0462206002609 -0.375721015601669 
