pO2 mew_e electrons holes VO{2} VO{1} VO{0} VM{-4} VM{-3} VM{-2} VM{-1} VM{0} Oi{-2} Oi{-1} Oi{0} Mi{4} Mi{3} Mi{2} Mi{1} Mi{0} Stoich
-35 3.26550028226197 -0.911508182525866 -8.93817483625296 -1.4051540659595 -1.35735501832118 -1.31556618558755 -14.0984748053633 -24.138729862917 -34.3160293812696 -44.5167767487795 -58.0674610902255 -13.8981275960457 -21.1884027703169 -31.1158222192242 -11.2086439593839 -9.47293007508055 -7.78787884488021 -8.61508617330525 -9.44622060813757 -0.102548394955391 
-34.8 3.25472408950586 -0.947714600263718 -8.90196841851511 -1.42873465673182 -1.41714202683135 -1.41155961183557 -14.043300476314 -24.0473491161299 -34.1884422167446 -44.3529831665166 -57.8674610902247 -13.8705404293032 -21.1246091858365 -31.015822217006 -11.263818286215 -9.56431081964952 -7.91546600718704 -8.77887975334993 -9.64622060592009 -0.163814073737683 
-34.6 3.24395328954086 -0.983902899019072 -8.86578011975975 -1.45297947043881 -1.4775751392937 -1.50818102305327 -13.9880536713362 -23.9559140123967 -34.0608188142561 -44.1891714652727 -57.6674610902255 -13.8429170251845 -21.0607974829624 -30.9158222153766 -11.3190650895634 -9.65574592175322 -8.0430894080461 -8.94269145296435 -9.84622060428987 -0.223720502529651 
-34.4 3.23319746746674 -1.02004087427094 -8.82964214450788 -1.47784619867575 -1.53857984278251 -1.60532370179395 -13.932605572343 -23.8643279381516 -33.9330947647591 -44.0253094405238 -57.4674610902248 -13.8151929744891 -20.9969354570152 -30.8158222141774 -11.3745131873575 -9.74733199479923 -8.17081345634398 -9.1065534765141 -10.0462206030915 -0.282202931873051 
-34.2 3.2224637865522 -1.05610445849333 -8.79357856028549 -1.50329477952425 -1.6000920078534 -1.70289945108722 -13.8768599092333 -23.7725186908195 -33.8052219332046 -43.861373024747 -57.2674610902256 -13.7873201420502 -20.9329990403538 -30.7158222132937 -11.4302588495835 -9.83914124124754 -8.29868628701468 -9.27048989140718 -10.246220602207 -0.339226387021617 
-34 3.21175744521472 -1.09207618577049 -8.75760683300834 -1.52928738152448 -1.66205633713079 -1.80083550764177 -13.8207468183412 -23.6804338726502 -33.6771653877582 -43.6973447520234 -57.0674610902248 -13.7592635959524 -20.8689707669789 -30.6158222126416 -11.4863719398235 -9.93122605876471 -8.426742831809 -9.43451816347866 -10.4462206015556 -0.394781340063832 
-33.8 3.20108206304758 -1.127943894803 -8.72173912397582 -1.55578835266811 -1.72442501730694 -1.89907189685044 -13.7642176544713 -23.5880369997478 -33.5489008058233 -43.533212461056 -56.8674610902249 -13.7309990135356 -20.8048384755296 -30.5158222121598 -11.5429011032117 -10.0236229311855 -8.5550074132623 -9.59865045396448 -10.6462206010739 -0.44887960374058 
-33.6 3.19044000267424 -1.16369964752469 -8.68598337125414 -1.5827641472589 -1.7871565646194 -1.99755919688459 -13.707240665358 -23.4953042579129 -33.4204123112666 -43.3689682137777 -56.6674610902249 -13.702510518623 -20.7405942278953 -30.4158222118038 -11.599878091969 -10.1163556726644 -8.68349590746289 -9.76289470088676 -10.8462206007179 -0.50155049126149 
-33.4 3.1798326353471 -1.19933883672975 -8.65034418204907 -1.61018323967181 -1.85021484623738 -2.09625666770762 -13.6497974221783 -23.4022218255281 -33.2916906896768 -43.2046074029827 -56.4674610902249 -13.6737888967698 -20.676233416837 -30.3158222115405 -11.6573213348854 -10.2094381047859 -8.81221752878942 -9.92725551141834 -11.0462206004545 -0.55283727761534 
-33.2 3.1692605583072 -1.23485945577641 -8.61482356300241 -1.63801603122207 -1.9135682568343 -2.19513069735121 -13.5918798983649 -23.3087836826681 -33.1627319277701 -43.0401280220294 -56.2674610902249 -13.6448301346682 -20.6117540356888 -30.2158222113456 -11.7152388585038 -10.302876247451 -8.94117629050121 -10.0917348921768 -11.2462206002597 -0.602793989932475 
