kpoint_spacing	monoclinic	tetragonal	cubic
0.02	-5.8636	-6.9851	-6.5294
0.03	-5.3749	-6.4330	-5.7149
0.04	-5.3619	-6.1948	-4.1469
0.05	-4.6619	-4.5228	-3.2623
0.06	-4.6449	-4.5308	-3.2623
0.07	-3.6872	-3.2765	-2.3415
0.08	-3.6908	-3.2765	-2.3415
0.09	-3.6886	-3.2765	-2.3415
0.10	-2.1206	-2.9949	-1.1551
0.11	-2.1203	-2.9949	-1.1551
0.12	-2.1205	-2.9949	-1.1551
0.13	-2.1207	-2.9949	-1.1551
0.14	-2.1207	-0.9337	-1.1551
0.15	-2.1206	-0.9337	-1.1551
0.16	-2.1206	-0.9337	-1.1551
0.17	-2.1206	-0.9337	-1.1551
0.18	-2.1206	-0.9337	-1.1551
0.19	-0.3405	-0.9337	-1.1551
0.20	-0.3101	-0.6477	0.2051

