distance	O_AE_s1	O_pp_s1	O_AE_s2	O_pp_s2	O_AE_p1	O_pp_p1	O_AE_p2	O_pp_p2
0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
1.29E-06	1.32E-05	-2.56E-06	1.08E-05	-2.29E-06	4.51E-11	3.88E-12	5.30E-11	4.31E-12
2.59E-06	2.66E-05	-5.14E-06	2.17E-05	-4.59E-06	1.81E-10	1.56E-11	2.13E-10	1.73E-11
3.90E-06	3.99E-05	-7.72E-06	3.27E-05	-6.90E-06	4.10E-10	3.52E-11	4.81E-10	3.91E-11
5.21E-06	5.33E-05	-1.03E-05	4.37E-05	-9.22E-06	7.31E-10	6.28E-11	8.59E-10	6.98E-11
6.52E-06	6.68E-05	-1.29E-05	5.47E-05	-1.16E-05	1.15E-09	9.86E-11	1.35E-09	1.09E-10
7.84E-06	8.03E-05	-1.55E-05	6.58E-05	-1.39E-05	1.65E-09	1.43E-10	1.94E-09	1.58E-10
9.17E-06	9.39E-05	-1.82E-05	7.69E-05	-1.62E-05	2.24E-09	1.95E-10	2.64E-09	2.16E-10
1.05E-05	1.08E-04	-2.08E-05	8.81E-05	-1.86E-05	2.93E-09	2.56E-10	3.44E-09	2.84E-10
1.18E-05	1.21E-04	-2.35E-05	9.93E-05	-2.10E-05	3.71E-09	3.25E-10	4.36E-09	3.61E-10
1.32E-05	1.35E-04	-2.61E-05	1.11E-04	-2.33E-05	4.58E-09	4.03E-10	5.38E-09	4.47E-10
1.45E-05	1.49E-04	-2.88E-05	1.22E-04	-2.57E-05	5.55E-09	4.89E-10	6.52E-09	5.43E-10
1.59E-05	1.63E-04	-3.15E-05	1.33E-04	-2.81E-05	6.61E-09	5.85E-10	7.76E-09	6.49E-10
1.72E-05	1.77E-04	-3.42E-05	1.45E-04	-3.05E-05	7.76E-09	6.89E-10	9.12E-09	7.65E-10
1.86E-05	1.91E-04	-3.69E-05	1.56E-04	-3.30E-05	9.00E-09	8.03E-10	1.06E-08	8.91E-10
2.00E-05	2.05E-04	-3.96E-05	1.68E-04	-3.54E-05	1.03E-08	9.26E-10	1.22E-08	1.03E-09
2.14E-05	2.19E-04	-4.23E-05	1.79E-04	-3.78E-05	1.18E-08	1.06E-09	1.38E-08	1.17E-09
