pO2 mew_e electrons holes VO{2} VO{1} VO{0} VM{-4} VM{-3} VM{-2} VM{-1} VM{0} Oi{-2} Oi{-1} Oi{0} Mi{4} Mi{3} Mi{2} Mi{1} Mi{0} Tei{0} Tei{-1} Tei{1} TesubO{1} TesubO{2} TesubO{3} TesubZr{-3} TesubZr{-4} TesubZr{-5} Stoich
-35 3.26550430350221 -0.911494671751941 -8.93818834702688 -1.40518243079277 -1.35736987238053 -1.31556752887297 -14.0984207622676 -24.1386893305953 -34.3160023597218 -44.5167632380055 -58.0674610902255 -13.8981005744974 -21.1883892595425 -31.1158222192237 -11.2086980024791 -9.47297060740183 -7.78790586642758 -8.61509968407869 -9.44622060813708 -14.9044331833393 -19.318842309432 -23.1893817493749 -5.02022288773901 -6.34201344950541 -13.3673636967773 -25.0292101170185 -22.627905528178 -29.9460147017133 -0.102529326113346 
-34.8 3.25472845848913 -0.947699921124534 -8.90198309765429 -1.4287653586524 -1.41715804961275 -1.41156095547778 -14.0432417597573 -24.0473050787123 -34.1884128584662 -44.3529684873774 -57.8674610902247 -13.8705110710245 -21.1245945066969 -31.0158222170056 -11.2638770027714 -9.56435485706667 -7.91549536546501 -8.77889443248872 -9.6462206059197 -14.8463594688224 -19.2969738442878 -23.0951027854854 -5.02193735267247 -6.30752266506628 -13.2966676629659 -24.8797521528368 -22.5146528133689 -29.8689672362768 -0.16379190656074 
-34.6 3.24395803732193 -0.983886947175168 -8.86579607160366 -1.45301271791972 -1.47759243493071 -1.50818236684638 -13.9879898639606 -23.955866156865 -34.0607869105683 -44.1891555134288 -57.6674610902255 -13.8428851214964 -21.0607815311182 -30.9158222153762 -11.3191288969387 -9.65579377728462 -8.04312131173359 -8.94270740480793 -9.84622060428955 -14.7877799911616 -19.2745813926777 -23.0003362817741 -5.02379226195906 -6.27319054830224 -13.2261485201509 -24.7297337549581 -22.4008214415408 -29.7913228904994 -0.223694855182035 
-34.4 3.23320262781942 -1.02002353624728 -8.82965948253154 -1.4778822184221 -1.5385985245052 -1.60532504549298 -13.9325362202483 -23.8642759240806 -33.9330600887117 -44.0252921025002 -57.4674610902248 -13.8151582984416 -20.9969181189913 -30.8158222141772 -11.3745825394519 -9.74738400886997 -8.17084813239105 -9.10657081453751 -10.0462206030912 -14.7287781095943 -19.2517161001824 -22.9051978111346 -5.02579647116522 -6.23905816843629 -13.1558795512132 -24.5791416418054 -22.2863659174602 -29.7130039554908 -0.282173395995716 
-34.2 3.2224693962645 -1.05608561068765 -8.79359740809118 -1.50333381846043 -1.60011219898389 -1.70290079441204 -13.8767845180106 -23.7724621474025 -33.8051842375933 -43.8613541769413 -57.2674610902256 -13.7872824464386 -20.932980192548 -30.7158222132935 -11.430334240806 -9.83919778466438 -8.29872398262583 -9.27050873921265 -10.2462206022067 -14.6694275207202 -19.2284275857487 -22.8097851478201 -5.02795955765356 -6.20515918048426 -13.0859184888204 -24.4279772771369 -22.1712636272321 -29.6339637397031 -0.339192527994832 
-34 3.2117635444157 -1.09205569335504 -8.75762732542378 -1.5293297089953 -1.66207817218616 -1.80083685028171 -13.8206648486794 -23.6803723954039 -33.6771244029273 -43.697324259608 -57.0674610902248 -13.7592226111213 -20.8689502745633 -30.6158222126414 -11.4864539094851 -9.93128753601087 -8.42678381663972 -9.43453865589393 -10.4462206015554 -14.6097935101326 -19.2047636578285 -22.7141810545651 -5.03029152092029 -6.1715210610836 -13.0163102867527 -24.2762535152028 -22.0555099479654 -29.5541801431038 -0.39474269718155 
-33.8 3.20108869556088 -1.12792161053686 -8.72176140824196 -1.5558342628172 -1.72444864318988 -1.89907323846725 -13.7641285174067 -23.5879701469494 -33.548856237291 -43.5331901767898 -56.8674610902249 -13.7309544450032 -20.8048161912633 -30.5158222121597 -11.5429902402762 -10.0236897839838 -8.55505198179444 -9.59867273823048 -10.6462206010738 -14.5499347047086 -19.1807707695863 -22.6184563319593 -5.0328031869814 -6.13816680996327 -12.9470901184502 -24.1239924618059 -21.9391148117503 -29.4736509240705 -0.448835690277156 
-33.6 3.19044721640989 -1.1636754104372 -8.68600760834163 -1.58281396166529 -1.78718214193831 -1.997560537116 -13.707143717008 -23.4952315466504 -33.4203638370917 -43.3689439766902 -56.6674610902249 -13.7024620444479 -20.7405699908077 -30.4158222118037 -11.5999750403188 -10.1164283839268 -8.68354438163776 -9.76291893797413 -10.8462206007178 -14.4899039237201 -19.1564937884981 -22.5226717510704 -5.0355059050973 -6.10511572817845 -12.8782852367654 -23.9712230808744 -21.8220992307191 -29.3923891429397 -0.501500794315799 
-33.4 3.17984048272911 -1.199312470684 -8.65037054809482 -1.61023731022549 -1.85024255074532 -2.09625800616982 -13.6496919579953 -23.4021427273909 -33.2916379575853 -43.204581036937 -56.4674610902249 -13.6737361646782 -20.6762070507912 -30.3158222115404 -11.6574267990683 -10.209517202923 -8.81227026088082 -9.927281877464 -11.0462206004545 -14.4297493804062 -19.131976305431 -22.4268801475098 -5.03841177085375 -6.07238453368847 -12.8099169820283 -23.8179797185643 -21.7044929286558 -29.3104199011232 -0.552781257734848 
-33.2 3.16926909674635 -1.23483076788064 -8.61485225089818 -1.63807474330389 -1.91359828102034 -2.19513203364148 -13.5917651467819 -23.3086976189808 -33.1626745519786 -43.0400993341337 -56.2674610902249 -13.6447727588766 -20.611725347793 -30.2158222113455 -11.7153536100868 -10.3029623111382 -8.94123366629268 -10.0917635800725 -11.2462206002596 -14.3695153328243 -19.1072605550457 -22.3311278027312 -5.0415334537417 -6.03998791937941 -12.7420020705229 -23.6643005627671 -21.5863320700553 -29.2277773397193 -0.602731080448932 
-33 3.15873306384947 -1.27023028392473 -8.57945273485409 -1.66629853028785 -1.9772215840484 -2.29415485271363 -13.5333632109583 -23.2148961671131 -33.0334735840668 -42.8754988501778 -56.0674610902249 -13.6155717908206 -20.5471248636928 -30.1158222112013 -11.7737555457662 -10.3967637628617 -9.07043463406022 -10.2563640638841 -11.4462206001153 -14.309242834833 -19.0823875730985 -22.2354557886958 -5.04488425892271 -6.00793920851671 -12.6745538436158 -23.5102266130524 -21.4676576363847 -29.1445024220927 -0.651412151816365 
-32.8 3.1482319353488 -1.30551252634734 -8.54417049243148 -1.69488267966196 -2.04108797584513 -2.39330348693297 -13.4744921806487 -23.120742894381 -32.904038068912 -42.7107810926004 -55.8674610902249 -13.586136275559 -20.4824071060086 -30.0158222110945 -11.8326265759689 -10.490917035487 -9.19987014910815 -10.4210818213547 -11.6462206000085 -14.2489704370105 -19.0573974176987 -22.1399011484507 -5.04847825300381 -5.97625096017481 -12.6075833528516 -23.3558009426046 -21.3485142083595 -29.0606412364902 -0.698891745610745 
-32.6 3.13776492320494 -1.34068014284464 -8.50900287593418 -1.72380284534464 -2.1051757580251 -2.49255888561024 -13.4151626466379 -23.0262457438729 -32.7743733019067 -42.5459487090977 -55.667461090225 -13.5564715084744 -20.4175747224268 -29.9158222110153 -11.8919561099006 -10.585414185916 -9.3295349160344 -10.5859142047782 -11.8462205999293 -14.1887344870476 -19.0323290842331 -22.0444975819905 -5.05233008529999 -5.94493517597408 -12.5410999521532 -23.2010678422127 -21.2289487244649 -28.9762433690929 -0.745240370838124 
-32.4 3.1273309917533 -1.37573661309682 -8.47394640568201 -1.75303623587835 -2.16946561881098 -2.5919052166483 -13.3553885276467 -22.9314151546294 -32.644486242411 -42.3810051793499 -55.467461090225 -13.5265844489202 -20.3526311926203 -29.8158222109567 -11.9517302288332 -10.6802447751008 -9.45942197547138 -10.7508577344674 -12.0462205998706 -14.1285695302721 -19.0072205977098 -21.9492761549629 -5.05645498936907 -5.9140036097906 -12.475111915718 -23.0460722962525 -21.1090096487568 -28.891360763637 -0.790529967664603 
-32.2 3.11692893065583 -1.41068600366112 -8.43899701511771 -1.78256152704724 -2.23394030054418 -2.69132928894579 -13.2951860899039 -22.8362633263223 -32.5143850235397 -42.2159545699143 -55.267461090225 -13.4964832300053 -20.2875805831412 -29.7158222109133 -12.0119326665325 -10.7753966033644 -9.58952319429931 -10.9159083438596 -12.2462205998272 -14.0685087101743 -18.9821091681762 -21.8542659443008 -5.06086885104788 -5.8834680809055 -12.4096269962682 -22.890859647891 -20.9887463909597 -28.8060468964042 -0.834832429087692 
-32 3.1065574126128 -1.44553277406884 -8.40415024470998 -1.8123587782949 -2.29858432219956 -2.79082008100891 -13.2345731715348 -22.7408036375456 -32.3840785643551 -42.050801340322 -55.067461090225 -13.4661767707886 -20.2224273535167 -29.6158222108811 -12.0725455848694 -10.870856292109 -9.71982965345161 -11.0810615734196 -12.4462205997949 -14.0085839686687 -18.9570311970784 -21.7594944323874 -5.06558813122989 -5.85334059067939 -12.3446527356347 -22.7354752176408 -20.8682087311172 -28.7203560069694 -0.878218422299696 
-31.8 3.09621503873791 -1.48028162437156 -8.36940139440726 -1.84240935303313 -2.36338374724051 -2.89036835635257 -13.1735685727457 -22.6450501884537 -32.2535762649606 -41.8855501906247 -54.8674610902251 -13.4356744713701 -20.1571762037956 -29.5158222108572 -12.1335501836346 -10.9666097411769 -9.85033195282226 -11.246312723093 -12.646220599771 -13.9488261462255 -18.9320222249379 -21.6649877596415 -5.07062973385155 -5.82363334299872 -12.2801966376509 -22.5799639461297 -20.7474463099089 -28.6343424360638 -0.920756479103631 
-31.6 3.08590037397425 -1.51493737614874 -8.33474564263008 -1.87269584279419 -2.42832598877875 -2.98996634966798 -13.1121915798545 -22.5490174437853 -32.122887768515 -41.7202059424019 -54.6674610902251 -13.4049859749068 -20.091831955555 -29.4158222108395 -12.1949271765081 -11.0626424858276 -9.98102044925018 -11.4116569712981 -12.8462205997533 -13.8892652822645 -18.9071171127541 -21.5707711439033 -5.07601111144646 -5.79435896881607 -12.2162665116915 -22.424370337518 -20.6265084530743 -28.5480603310063 -0.96251232234503 
-31.4 3.07561197451014 -1.54950488039465 -8.30017813838417 -1.90320199524312 -2.49339964547359 -3.08960751060875 -13.0504615968381 -22.4527199565231 -31.9920227770068 -41.5547734466479 -54.4674610902251 -13.3741209833855 -20.0263994597878 -29.3158222108264 -12.2566571595113 -11.1589399730767 -10.1118854407452 -11.577089467039 -13.0462205997401 -13.8299306151546 -18.8823499498901 -21.4768689725475 -5.08175010104453 -5.76553045416861 -12.1528704927977 -22.268738183159 -20.5054438029612 -28.4615631851392 -1.00354839444165 
-31.2 3.06534840876816 -1.58398894699817 -8.26569407178066 -1.93391264587312 -2.55859436270711 -3.18928629444577 -12.9883978632522 -22.3561721563336 -31.8609909102139 -41.3892575132514 -54.2674610902251 -13.3430891165827 -19.9608835263816 -29.2158222108166 -12.3187208930875 -11.2554877732564 -10.2429173075284 -11.7426054004257 -13.2462205997303 -13.7708506823454 -18.8577540836844 -21.3833049731348 -5.0878648854786 -5.73716117199878 -12.0900171440248 -22.1131104501701 -20.3843001365758 -28.3749035853573 -1.04392355527079 
-31 3.05510827325588 -1.61839429148678 -8.23128872729204 -1.96481365328088 -2.62390071460348 -3.28899799083076 -12.9260192412067 -22.2593881897995 -31.7298015991911 -41.2236628577401 -54.0674610902252 -13.3118998055527 -19.895288870863 -29.1158222108094 -12.3810995151258 -11.3522717397833 -10.3741066185439 -11.9082000559299 -13.4462205997231 -13.7120534204983 -18.8333621663259 -21.2901023667991 -5.09437397553517 -5.70926491756712 -12.0277155451041 -21.9575292217961 -20.2631242526905 -28.2881330459606 -1.08369291862395 
-30.8 3.04489020431811 -1.65272549554077 -8.19695752323805 -1.99589183788631 -2.6893101032629 -3.38873858354418 -12.8633440574227 -22.1623818019615 -31.5984640072992 -41.0579940617941 -53.8674610902252 -13.2805622136554 -19.8296200749116 -29.015822210804 -12.4437746989044 -11.4492781276159 -10.5054442104305 -12.0738688518705 -13.6462205997177 -13.6535661654867 -18.8092061153683 -21.1972839077335 -5.10129610918831 -5.68185584716589 -11.9659752706493 -21.8020355789519 -20.1419618139002 -28.2013018112243 -1.12290779921764 
-30.6 3.03469288664701 -1.68698697840039 -8.16269604037843 -2.02713492406514 -2.75481467230135 -3.48850463544224 -12.8003899888612 -22.0651662505404 -31.4669869730184 -40.8922555446537 -53.6674610902252 -13.2490851793706 -19.7638815577672 -28.9158222108 -12.5067287674619 -11.5464936790331 -10.6369212447073 -12.2396073690068 -13.8462205997137 -13.5954154020669 -18.7853168348081 -21.1048716614541 -5.10864991481095 -5.65494816992929 -11.9048061105527 -21.6466692641149 -20.0208569819229 -28.1144584621066 -1.16161574551092 
-30.4 3.02451505918452 -1.72118297703465 -8.12850004174417 -2.0585314852612 -2.82040723213167 -3.58829319390682 -12.7371739833983 -21.9677542464432 -31.335378970287 -40.726451543288 -53.4674610902253 -13.217477176636 -19.6980775563984 -28.8158222107969 -12.5699447729219 -11.6439056831273 -10.7685292474358 -12.4054113703696 -14.0462205997107 -13.5376270642728 -18.7617244956483 -21.0128873250257 -5.11645413685032 -5.62855639333402 -11.8442183353232 -21.4914689222266 -19.8998526386688 -28.0276501174868 -1.19986063743271 
