pO2 mew_e electrons holes VO{2} VO{1} VO{0} VM{-4} VM{-3} VM{-2} VM{-1} VM{0} Oi{-2} Oi{-1} Oi{0} Mi{4} Mi{3} Mi{2} Mi{1} Mi{0} Xei{-1} Xei{0} Xei{1} XesubO{1} XesubO{2} XesubO{3} XesubZr{-3} XesubZr{-4} XesubZr{-5} Stoich
-35 3.26594333769754 -0.910019581630888 -8.93966343714794 -1.40825746450371 -1.35896981597041 -1.3156923823418 -14.0925204017834 -24.1342640602321 -34.3130521794797 -44.5152881478845 -58.0674610902255 -13.8951503942023 -21.1869141693684 -31.1158222191707 -11.2145983629103 -9.47739587771199 -7.79085604661668 -8.61657477414674 -9.44622060808408 -18.8947765490892 -15.5755826088357 -20.596817379579 -3.06762241836757 -3.84106619041802 -13.6471213994049 -21.3946282727011 -16.3037215583112 -21.2657701307981 -0.100760848996856 
-34.8 3.25520813935145 -0.946088264199373 -8.90359475457945 -1.4321130850195 -1.41889411905469 -1.41168536799456 -14.0367951320566 -24.0424701079368 -34.1851895446159 -44.3513568304522 -57.8674610902247 -13.8672877571311 -21.1229828497287 -31.0158222169626 -11.270323630429 -9.56918982779912 -7.9187186792723 -8.78050608937085 -9.64622060587667 -18.8763101453997 -15.5210475225777 -20.5062136107525 -3.07301163740194 -3.81038672688389 -13.5803732533027 -21.2482992363559 -16.1934612045345 -21.1915784595899 -0.161744553371024 
-34.6 3.24448233799194 -0.982125374279416 -8.86755764449941 -1.45665979566742 -1.47947793978265 -1.50830629880257 -13.9809435723776 -23.9505814381777 -34.0572637647768 -44.187393940533 -57.6674610902255 -13.8393619756699 -21.0590199581875 -30.9158222153413 -11.3261751884867 -9.6610784959369 -8.04664445749012 -8.94446897766871 -9.84622060425458 -18.8575392745685 -15.4662395416665 -20.4153685197612 -3.07878747884001 -3.78012545824192 -13.5140748745803 -21.101602587307 -16.0828016655656 -21.116956030701 -0.22133634318786 
-34.4 3.23377590053133 -1.01809742451611 -8.83158559426271 -1.48185785100315 -1.54064804535508 -1.60544845461168 -13.9248317733236 -23.8584975888871 -33.9292078652494 -44.023365990769 -57.4674610902248 -13.8113060749508 -20.9949920072317 -30.8158222141487 -11.3822869863482 -9.75316234403504 -8.17470035582495 -9.10849692624023 -10.0462206030628 -18.8385193499304 -15.4112475667916 -20.3244044946497 -3.08496561073015 -3.75033153989537 -13.4483089059974 -20.954526764334 -15.9716978928293 -21.0418243082014 -0.279469653070739 
-34.2 3.22309641206084 -1.05397893012204 -8.79570408865678 -1.50767002159001 -1.60234172154787 -1.70302363641042 -13.8683577957481 -23.7661421057057 -33.8009708764621 -43.8592474963757 -57.2674610902256 -13.7830690852842 -20.9308735119592 -30.7158222132704 -11.4387609630453 -9.84551782633805 -8.3029373437339 -9.27261541975511 -10.2462206021836 -18.8193034887592 -15.3561502000146 -20.2334256222667 -3.09156192102427 -3.72104634458356 -13.3831422050793 -20.8070739152539 -15.8601265493551 -20.9661344703332 -0.336107792054395 
-34 3.2124495360913 -1.08975086253646 -8.75993215624236 -1.53406159986753 -1.6645052322398 -1.80095907951676 -13.8114455254051 -23.6734579029482 -33.6725147412901 -43.6950194287894 -57.0674610902248 -13.7546129494653 -20.8666454437259 -30.6158222126226 -11.4956732327406 -9.93820202844779 -8.43139347825805 -9.43684348669368 -10.4462206015366 -18.7999423867252 -15.3010171655661 -20.1425206554038 -3.09859239791546 -3.69230488906033 -13.318628817142 -20.6592566786957 -15.7480812452113 -20.8898610986038 -0.391239607891298 
-33.8 3.20183940402057 -1.12539934087205 -8.72428367790677 -1.56100037224447 -1.72709248295234 -1.89919480856489 -13.7540394387474 -23.580403337955 -33.5438116979614 -43.530667907125 -56.8674610902249 -13.7259099056582 -20.8022939215832 -30.5158222121443 -11.5530793189201 -10.0312565929629 -8.56009652110872 -9.60119500787995 -10.6462206010584 -18.780484216972 -15.2459105174773 -20.0517655289794 -3.10607300101715 -3.66413701382681 -13.2548124635725 -20.5110954660918 -15.6355685109431 -20.8129968426711 -0.444875364800335 
-33.6 3.19126894065994 -1.16091453819448 -8.68876848058434 -1.58845657061539 -1.79006387864569 -1.99768140158067 -13.6961002280372 -23.4869489299223 -33.4148420926062 -43.3661831044475 -56.6674610902249 -13.6969402999499 -20.7378091185525 -30.4158222117912 -11.6110185292772 -10.1247110006424 -8.68906612611069 -9.76567981020434 -10.8462206007053 -18.760974529882 -15.1908856330648 -19.9612254472445 -3.11401951265158 -3.63656832813804 -13.1917285805617 -20.3626161739999 -15.5226044161735 -20.735547945224 -0.497042879982506 
-33.4 3.1807401337428 -1.19628977601276 -8.65339324276606 -1.61640281236995 -1.85338535821853 -2.09637811897179 -13.6376011793103 -23.3930746433771 -33.2855925682428 -43.2015583422658 -56.4674610902249 -13.6676907753255 -20.6731843561098 -30.3158222115302 -11.669517577743 -10.2185852869266 -8.81831565021312 -9.93030457212505 -11.0462206004443 -18.7414561601515 -15.1359920255161 -19.8709566018776 -3.12244738493633 -3.60962096260528 -13.1294059772103 -20.213848280167 -15.4092117601589 -20.6575305270277 -0.547783955927529 
-33.2 3.17025425547035 -1.23152077991859 -8.61816223886023 -1.64481403536485 -1.91702758511926 -2.19525134977835 -13.5785251949337 -23.2987676550947 -33.1560545760545 -43.0367893461716 -56.2674610902249 -13.6381527829442 -20.6084153598226 -30.2158222113372 -11.7285935619267 -10.3128922750161 -8.94785364220848 -10.0950735680262 -11.2462206002513 -18.7219691287835 -15.0812739902423 -19.7810075626979 -3.13137157675656 -3.58331415051892 -13.0678681612185 -20.0648232568036 -15.2954177407014 -20.578967511476 -0.597151137574878 
