distance	Zr_AE_s1	Zr_pp_s1	Zr_AE_s2	Zr_pp_s2	Zr_AE_p1	Zr_pp_p1	Zr_AE_p2	Zr_pp_p2	Zr_AE_d1	Zr_pp_d1	Zr_AE_d2	Zr_pp_d2
0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
2.59E-07	9.69E-06	-5.55E-07	3.53E-06	-2.60E-07	9.24E-11	1.04E-13	4.29E-11	5.18E-14	4.13E-17	-1.26E-20	4.36E-17	-1.35E-20
5.19E-07	1.94E-05	-1.11E-06	7.07E-06	-5.22E-07	3.71E-10	4.17E-13	1.72E-10	2.08E-13	3.32E-16	-1.01E-19	3.51E-16	-1.09E-19
7.79E-07	2.92E-05	-1.67E-06	1.06E-05	-7.84E-07	8.38E-10	9.42E-13	3.90E-10	4.70E-13	1.13E-15	-3.44E-19	1.19E-15	-3.69E-19
1.04E-06	3.90E-05	-2.23E-06	1.42E-05	-1.05E-06	1.50E-09	1.68E-12	6.95E-10	8.38E-13	2.69E-15	-8.20E-19	2.84E-15	-8.79E-19
1.30E-06	4.88E-05	-2.80E-06	1.78E-05	-1.31E-06	2.35E-09	2.64E-12	1.09E-09	1.32E-12	5.29E-15	-1.61E-18	5.59E-15	-1.73E-18
1.57E-06	5.87E-05	-3.37E-06	2.14E-05	-1.58E-06	3.34E-09	3.82E-12	1.55E-09	1.90E-12	8.97E-15	-2.80E-18	9.47E-15	-3.01E-18
1.83E-06	6.86E-05	-3.93E-06	2.50E-05	-1.84E-06	4.53E-09	5.22E-12	2.10E-09	2.60E-12	1.41E-14	-4.48E-18	1.49E-14	-4.80E-18
2.10E-06	7.86E-05	-4.51E-06	2.86E-05	-2.11E-06	5.90E-09	6.84E-12	2.74E-09	3.41E-12	2.11E-14	-6.72E-18	2.23E-14	-7.21E-18
2.37E-06	8.86E-05	-5.08E-06	3.23E-05	-2.38E-06	7.45E-09	8.69E-12	3.46E-09	4.33E-12	3.00E-14	-9.63E-18	3.17E-14	-1.03E-17
2.64E-06	9.86E-05	-5.66E-06	3.59E-05	-2.65E-06	9.19E-09	1.08E-11	4.27E-09	5.37E-12	4.12E-14	-1.33E-17	4.35E-14	-1.43E-17
2.91E-06	1.09E-04	-6.24E-06	3.96E-05	-2.92E-06	1.11E-08	1.31E-11	5.17E-09	6.53E-12	5.48E-14	-1.78E-17	5.79E-14	-1.91E-17
3.18E-06	1.19E-04	-6.82E-06	4.32E-05	-3.20E-06	1.32E-08	1.57E-11	6.15E-09	7.80E-12	7.12E-14	-2.33E-17	7.52E-14	-2.50E-17
3.45E-06	1.29E-04	-7.40E-06	4.69E-05	-3.47E-06	1.55E-08	1.84E-11	7.21E-09	9.20E-12	9.06E-14	-2.98E-17	9.57E-14	-3.19E-17
3.72E-06	1.39E-04	-7.99E-06	5.06E-05	-3.74E-06	1.80E-08	2.15E-11	8.36E-09	1.07E-11	1.13E-13	-3.74E-17	1.20E-13	-4.02E-17
4.00E-06	1.49E-04	-8.57E-06	5.44E-05	-4.02E-06	2.06E-08	2.48E-11	9.60E-09	1.23E-11	1.39E-13	-4.63E-17	1.47E-13	-4.97E-17
4.27E-06	1.59E-04	-9.17E-06	5.81E-05	-4.30E-06	2.35E-08	2.83E-11	1.09E-08	1.41E-11	1.69E-13	-5.66E-17	1.79E-13	-6.07E-17
4.55E-06	1.70E-04	-9.76E-06	6.18E-05	-4.57E-06	2.65E-08	3.21E-11	1.23E-08	1.60E-11	2.03E-13	-6.83E-17	2.15E-13	-7.33E-17
4.83E-06	1.80E-04	-1.04E-05	6.56E-05	-4.85E-06	2.97E-08	3.61E-11	1.38E-08	1.80E-11	2.42E-13	-8.16E-17	2.55E-13	-8.75E-17
5.11E-06	1.90E-04	-1.10E-05	6.93E-05	-5.13E-06	3.31E-08	4.04E-11	1.54E-08	2.01E-11	2.85E-13	-9.65E-17	3.01E-13	-1.04E-16
5.39E-06	2.01E-04	-1.16E-05	7.31E-05	-5.42E-06	3.67E-08	4.50E-11	1.71E-08	2.24E-11	3.32E-13	-1.13E-16	3.51E-13	-1.22E-16
5.67E-06	2.11E-04	-1.22E-05	7.69E-05	-5.70E-06	4.05E-08	4.98E-11	1.88E-08	2.48E-11	3.85E-13	-1.32E-16	4.07E-13	-1.42E-16
5.95E-06	2.22E-04	-1.28E-05	8.07E-05	-5.98E-06	4.44E-08	5.49E-11	2.07E-08	2.74E-11	4.43E-13	-1.53E-16	4.68E-13	-1.64E-16
6.23E-06	2.32E-04	-1.34E-05	8.45E-05	-6.27E-06	4.86E-08	6.02E-11	2.26E-08	3.00E-11	5.07E-13	-1.76E-16	5.36E-13	-1.88E-16
6.52E-06	2.43E-04	-1.40E-05	8.83E-05	-6.55E-06	5.29E-08	6.59E-11	2.46E-08	3.28E-11	5.77E-13	-2.01E-16	6.09E-13	-2.16E-16
6.80E-06	2.53E-04	-1.46E-05	9.22E-05	-6.84E-06	5.74E-08	7.18E-11	2.67E-08	3.58E-11	6.53E-13	-2.28E-16	6.89E-13	-2.45E-16
7.09E-06	2.64E-04	-1.52E-05	9.60E-05	-7.13E-06	6.21E-08	7.80E-11	2.89E-08	3.89E-11	7.35E-13	-2.59E-16	7.76E-13	-2.77E-16
7.38E-06	2.74E-04	-1.58E-05	9.99E-05	-7.42E-06	6.70E-08	8.44E-11	3.12E-08	4.21E-11	8.24E-13	-2.91E-16	8.70E-13	-3.13E-16
7.67E-06	2.85E-04	-1.65E-05	1.04E-04	-7.71E-06	7.21E-08	9.12E-11	3.35E-08	4.55E-11	9.20E-13	-3.27E-16	9.72E-13	-3.51E-16
7.96E-06	2.96E-04	-1.71E-05	1.08E-04	-8.00E-06	7.74E-08	9.82E-11	3.60E-08	4.90E-11	1.02E-12	-3.66E-16	1.08E-12	-3.92E-16
